Cutoff_(eV/ion) Kpoint fine_Gmax_(1/A) fine_grid_scale Total_time_(s) Peak_memory_(kB) Cutoff_run Kpt_run fGmax_run Energy_(eV/ion) Force_(eV/A) Stress_(GPa)
200.0000 7x7x7 14.4905 2.00 13.93 3078560 T F F -168.84991260120000000000 2.02277 8.009561
300.0000 7x7x7 17.7472 2.00 19.51 3078560 T F F -168.87264945450000000000 2.01006 7.711274
400.0000 11x11x11 20.4927 2.00 105.11 3080992 F T F -168.87857934970000000000 2.00479 7.673300
400.0000 13x13x13 20.4927 2.00 185.93 3163956 F T F -168.87874694625000000000 2.00456 7.673852
400.0000 15x15x15 20.4927 2.00 310.20 3279820 F T F -168.87878423190000000000 2.00448 7.674174
400.0000 1x1x1 20.4927 2.00 6.59 3078432 F T F -159.74934376975000000000 4.21578 56.245867
400.0000 3x3x3 20.4927 2.00 7.95 3078444 F T F -168.52847437320000000000 2.19648 10.072061
400.0000 5x5x5 20.4927 2.00 15.63 3078476 F T F -168.84052673405000000000 2.03603 7.935827
400.0000 7x7x7 17.9311 1.75 33.13 3078556 F F T -168.87301757295000000000 2.01015 7.700106
400.0000 7x7x7 19.9804 1.95 29.81 3078556 F F T -168.87301757295000000000 2.01015 7.700103
400.0000 7x7x7 20.4927 2.00 29.02 3078560 T T F -168.87299919245000000000 2.01026 7.700318
400.0000 7x7x7 22.0296 2.15 34.54 3078560 F F T -168.87297636400000000000 2.01012 7.700838
400.0000 7x7x7 24.0789 2.35 30.96 3078560 F F T -168.87299227150000000000 2.01015 7.700571
400.0000 7x7x7 26.1282 2.55 35.10 3078560 F F T -168.87300378470000000000 2.01013 7.701339
400.0000 7x7x7 28.1774 2.75 37.89 3078564 F F T -168.87301983805000000000 2.01013 7.700320
400.0000 7x7x7 30.2267 2.95 38.79 3091488 F F T -168.87300015315000000000 2.01016 7.700029
400.0000 7x7x7 32.2760 3.15 38.57 3091944 F F T -168.87300015315000000000 2.01016 7.700031
400.0000 7x7x7 34.3252 3.35 39.55 3135028 F F T -168.87300006055000000000 2.01013 7.700753
400.0000 9x9x9 20.4927 2.00 53.95 3078716 F T F -168.87774335740000000000 2.00569 7.674581
500.0000 7x7x7 22.9115 2.00 32.07 3078560 T F F -168.87310554215000000000 2.01006 7.698430
600.0000 7x7x7 25.0983 2.00 50.27 3078560 T F F -168.87313459565000000000 2.01003 7.698808
700.0000 7x7x7 27.1093 2.00 57.25 3109176 T F F -168.87318416990000000000 2.01001 7.697592
800.0000 7x7x7 28.9810 2.00 56.23 3125088 T F F -168.87319769890000000000 2.01000 7.697450
900.0000 7x7x7 30.7390 2.00 84.38 3173768 T F F -168.87318085920000000000 2.01003 7.697107
